cycle_id,sample_id,cooler_condition,valve_condition,pump_leakage,accumulator_pressure,stable_flag,is_stable_cycle,is_healthy,num_degraded_components,degraded_components,is_single_component_fault,fault_subsystem,fault_label,subsystem_label,condition_type
1,1,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
2,2,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
3,3,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
4,4,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
5,5,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
6,6,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
7,7,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
8,8,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
9,9,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
10,10,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
11,11,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
12,12,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
13,13,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
14,14,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
15,15,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
16,16,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
17,17,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
18,18,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
19,19,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
20,20,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
21,21,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
22,22,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
23,23,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
24,24,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
25,25,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
26,26,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
27,27,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
28,28,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
29,29,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
30,30,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
31,31,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
32,32,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
33,33,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
34,34,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
35,35,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
36,36,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
37,37,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
38,38,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
39,39,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
40,40,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
41,41,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
42,42,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
43,43,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
44,44,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
45,45,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
46,46,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
47,47,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
48,48,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
49,49,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
50,50,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
51,51,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
52,52,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
53,53,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
54,54,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
55,55,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
56,56,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
57,57,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
58,58,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
59,59,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
60,60,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
61,61,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
62,62,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
63,63,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
64,64,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
65,65,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
66,66,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
67,67,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
68,68,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
69,69,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
70,70,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
71,71,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
72,72,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
73,73,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
74,74,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
75,75,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
76,76,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
77,77,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
78,78,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
79,79,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
80,80,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
81,81,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
82,82,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
83,83,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
84,84,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
85,85,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
86,86,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
87,87,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
88,88,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
89,89,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
90,90,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
91,91,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
92,92,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
93,93,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
94,94,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
95,95,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
96,96,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
97,97,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
98,98,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
99,99,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
100,100,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
101,101,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
102,102,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
103,103,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
104,104,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
105,105,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
106,106,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
107,107,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
108,108,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
109,109,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
110,110,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
111,111,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
112,112,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
113,113,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
114,114,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
115,115,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
116,116,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
117,117,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
118,118,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
119,119,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
120,120,3,100,0,130,1,0,0,1,Cooler,1,Cooler,Cooler,cooler,single_component_degraded
